 date value 
 2022-03-14 0.0002218793 
 2022-03-15 3.432491e-06 
 2022-03-16 0.005431645 
 2022-03-17 7.438241e-06 
 2022-03-18 8.59934e-06 
 2022-03-19 5.83266e-09 
 2022-03-20        0 
 2022-03-21 1.077311e-05 
 2022-03-22        0 
 2022-03-23        0 
 2022-03-24        0 
 2022-03-25        0 
 2022-03-26        0 
 2022-03-27        0 
 2022-03-28 0.004586877 
 2022-03-29 0.00217459 
 2022-03-30 0.00212478 
 2022-03-31 0.0008395591 
 2022-04-01 0.0004064903 
 2022-04-02 0.0009287921 
 2022-04-03 0.0001865821 
 2022-04-04 0.002852297 
 2022-04-05 3.58565e-05 
 2022-04-06 0.004742333 
 2022-04-07 0.004493877 
 2022-04-08 0.005255023 
 2022-04-09 1.144164e-06 
 2022-04-10 3.278248e-05 
 2022-04-11 0.00242337 
 2022-04-12 0.006426685 
 2022-04-13 0.0006019422 
 2022-04-14 0.0003248337 
 2022-04-15 1.33465e-05 
 2022-04-16 1.690358e-05 
 2022-04-17 0.0002166853 
 2022-04-18 0.001141807 
 2022-04-19 0.001989279 
 2022-04-20 0.000145464 
 2022-04-21 5.814247e-06 
 2022-04-22 0.0008403814 
 2022-04-23 0.002279252 
 2022-04-24 0.0008833195 
 2022-04-25 0.0003024171 
 2022-04-26 7.62776e-07 
 2022-04-27 1.728175e-05 
 2022-04-28 8.257919e-05 
 2022-04-29 1.904122e-07 
 2022-04-30        0 
 2022-05-01 0.01008991 
 2022-05-02 0.001435268 
 2022-05-03 0.001793394 
 2022-05-04 0.001015175 
 2022-05-05 2.076177e-05 
 2022-05-06 4.103921e-05 
 2022-05-07 8.869491e-06 
 2022-05-08 4.196239e-06 
 2022-05-09        0 
 2022-05-10 0.0003031648 
 2022-05-11 0.00470393 
 2022-05-12 0.000414685 
 2022-05-13 4.577142e-06 
 2022-05-14 0.004819751 
 2022-05-15 0.00682498 
 2022-05-16 0.003140642 
 2022-05-17 0.00232407 
 2022-05-18 0.002683598 
 2022-05-19 0.000141586 
 2022-05-20 0.006144099 
 2022-05-21 3.432492e-06 
 2022-05-22 0.0002877561 
 2022-05-23 0.006134497 
 2022-05-24 0.001836839 
 2022-05-25 0.0009123758 
 2022-05-26 0.0001326887 
 2022-05-27 7.245321e-06 
 2022-05-28        0 
 2022-05-29 0.003671633 
 2022-05-30 0.002888783 
 2022-05-31 0.0005821887 
 2022-06-01 0.0008191002 
 2022-06-02 6.483595e-06 
 2022-06-03 0.009724491 
 2022-06-04 0.01698711 
 2022-06-05 0.008006554 
 2022-06-06 0.001227034 
 2022-06-07 0.002811955 
 2022-06-08 0.001119058 
 2022-06-09 0.001889595 
 2022-06-10 8.742805e-05 
 2022-06-11 0.0002368192 
 2022-06-12 0.0002541615 
 2022-06-13 2.002389e-06 
 2022-06-14 3.81388e-07 
 2022-06-15 8.484294e-06 
 2022-06-16 6.580122e-05 
 2022-06-17 8.582251e-07 
 2022-06-18 0.01363619 
 2022-06-19 0.005681735 
 2022-06-20 6.68995e-05 
 2022-06-21        0 
 2022-06-22        0 
 2022-06-23 0.0007437532 
 2022-06-24 0.003820699 
 2022-06-25 0.002316486 
 2022-06-26 0.001352339 
 2022-06-27 0.002320847 
 2022-06-28 0.004291772 
 2022-06-29 0.003398941 
 2022-06-30 0.008241164 
 2022-07-01 0.001082896 
 2022-07-02 0.001905236 
 2022-07-03 5.080841e-05 
 2022-07-04 6.606046e-05 
 2022-07-05 0.0002941398 
 2022-07-06 6.292377e-05 
 2022-07-07 2.097761e-06 
 2022-07-08 3.81388e-07 
 2022-07-09        0 
 2022-07-10        0 
 2022-07-11        0 
 2022-07-12 0.0001799369 
 2022-07-13 0.0003985149 
 2022-07-14        0 
 2022-07-15        0 
 2022-07-16 1.506051e-05 
 2022-07-17 0.00129057 
 2022-07-18 7.666644e-07 
 2022-07-19 0.001097081 
 2022-07-20 0.0007622948 
 2022-07-21 9.721099e-10 
 2022-07-22 0.0004800789 
 2022-07-23 0.0009351131 
 2022-07-24 0.0002368267 
 2022-07-25 0.000510992 
 2022-07-26 3.808245e-07 
 2022-07-27 8.245952e-05 
 2022-07-28 0.001757276 
 2022-07-29 4.9948e-05 
 2022-07-30 0.001203136 
 2022-07-31 0.0007970274 
 2022-08-01 0.000299923 
 2022-08-02 0.0002933303 
 2022-08-03 0.000321249 
 2022-08-04 4.043815e-05 
 2022-08-05        0 
 2022-08-06        0 
 2022-08-07        0 
 2022-08-08        0 
 2022-08-09        0 
 2022-08-10        0 
 2022-08-11        0 
 2022-08-12        0 
 2022-08-13        0 
 2022-08-14 6.612938e-05 
 2022-08-15 0.002318874 
 2022-08-16 0.01453632 
 2022-08-17 0.00384349 
 2022-08-18 0.001598081 
 2022-08-19 0.0001638726 
 2022-08-20 0.0002102154 
 2022-08-21 7.217566e-05 
 2022-08-22 0.00109342 
 2022-08-23 0.000253324 
 2022-08-24 0.003746203 
 2022-08-25 3.823601e-07 
 2022-08-26 0.0006114087 
 2022-08-27 7.712386e-05 
 2022-08-28 7.62776e-07 
 2022-08-29 2.097255e-05 
 2022-08-30 0.0003263243 
 2022-08-31 0.0001308647 
 2022-09-01 0.0007674117 
 2022-09-02 0.001916906 
 2022-09-03 0.003739933 
 2022-09-04 0.01927706 
 2022-09-05 0.02021977 
 2022-09-06 0.004903084 
 2022-09-07 0.003662561 
 2022-09-08 0.005701031 
 2022-09-09 0.002308091 
 2022-09-10 0.0004302237 
 2022-09-11 0.001790923 
 2022-09-12 0.005044933 
 2022-09-13 0.02062408 
 2022-09-14 0.01448392 
 2022-09-15 1.619224e-05 
 2022-09-16 2.478253e-06 
 2022-09-17        0 
 2022-09-18 2.38329e-06 
 2022-09-19 0.0003492021 
 2022-09-20 0.0001407857 
 2022-09-21 4.575119e-06 
 2022-09-22 0.003534487 
 2022-09-23 0.0003022042 
 2022-09-24 7.215697e-05 
 2022-09-25 1.222135e-05 
 2022-09-26 0.001455371 
 2022-09-27 0.0034524 
 2022-09-28 0.0004056045 
 2022-09-29 0.002092494 
 2022-09-30 0.005686206 
 2022-10-01 0.005021967 
 2022-10-02 0.008187398 
 2022-10-03 0.0001181204 
 2022-10-04 0.0006190005 
 2022-10-05 0.0007526659 
 2022-10-06 8.243728e-05 
 2022-10-07 0.0006132521 
 2022-10-08 5.718002e-07 
 2022-10-09 0.001487751 
 2022-10-10 0.001105141 
 2022-10-11 3.637019e-05 
 2022-10-12 0.0009114064 
 2022-10-13 0.001668819 
 2022-10-14 0.002182935 
 2022-10-15 0.0006821115 
 2022-10-16 0.007836098 
 2022-10-17 0.0003402957 
 2022-10-18 0.000402622 
 2022-10-19 0.006655863 
 2022-10-20 0.001234818 
 2022-10-21 0.006886675 
 2022-10-22 0.002150214 
 2022-10-23 0.01924016 
 2022-10-24 0.001580457 
 2022-10-25 0.006569101 
 2022-10-26 0.001168947 
 2022-10-27 0.005612341 
 2022-10-28 0.00391929 
 2022-10-29 0.007179786 
 2022-10-30 0.002209639 
 2022-10-31 0.01184639 
 2022-11-01 0.002889756 
 2022-11-02 0.008119436 
 2022-11-03 0.007059595 
 2022-11-04 3.302656e-05 
 2022-11-05 0.006554877 
 2022-11-06 0.004248407 
 2022-11-07 0.01107094 
 2022-11-08 0.004590509 
 2022-11-09 0.0005586414 
 2022-11-10 0.0003014844 
 2022-11-11 0.0001563971 
 2022-11-12 1.612802e-05 
 2022-11-13 9.541603e-07 
 2022-11-14 0.001517416 
 2022-11-15 0.01360718 
 2022-11-16 0.01300862 
 2022-11-17 0.001597186 
 2022-11-18 0.0005673278 
 2022-11-19 0.00273105 
 2022-11-20 0.001161304 
 2022-11-21 0.01870863 
 2022-11-22 0.003308532 
 2022-11-23 0.006467224 
 2022-11-24 0.004185549 
 2022-11-25 4.662057e-05 
 2022-11-26 0.01175823 
 2022-11-27 7.598486e-05 
 2022-11-28 0.0006239292 
 2022-11-29 1.324642e-05 
 2022-11-30 9.21803e-05 
 2022-12-01 7.15124e-06 
 2022-12-02 2.872688e-06 
 2022-12-03 0.0001769052 
 2022-12-04 0.0006944089 
 2022-12-05 4.716408e-05 
 2022-12-06 1.060758e-05 
 2022-12-07 4.02488e-05 
 2022-12-08 2.859642e-06 
 2022-12-09 1.135089e-05 
 2022-12-10 0.000166244 
 2022-12-11 0.0004076183 
 2022-12-12 5.636038e-05 
 2022-12-13 0.002445969 
 2022-12-14 0.0003197497 
 2022-12-15        0 
 2022-12-16        0 
 2022-12-17 2.529249e-05 
 2022-12-18 0.01351007 
 2022-12-19 0.0117698 
 2022-12-20 0.002316571 
 2022-12-21 0.00210842 
 2022-12-22 0.005316013 
 2022-12-23 0.007883984 
 2022-12-24 0.0004593796 
 2022-12-25 0.002536681 
 2022-12-26 0.0005288118 
 2022-12-27 0.005734717 
 2022-12-28 0.005939316 
 2022-12-29 0.00223913 
 2022-12-30 0.009275185 
 2022-12-31 0.008625696 
 2023-01-01 0.002449146 
 2023-01-02 5.357181e-06 
 2023-01-03 0.01179388 
 2023-01-04 0.0004253161 
 2023-01-05 0.002819699 
 2023-01-06 0.001731421 
 2023-01-07 0.01192537 
 2023-01-08 0.00191364 
 2023-01-09 0.001111651 
 2023-01-10 0.003190492 
 2023-01-11 0.008839293 
 2023-01-12 0.007440545 
 2023-01-13 0.003210567 
 2023-01-14 0.01466582 
 2023-01-15 0.01180925 
 2023-01-16 0.005505364 
 2023-01-17 7.23406e-05 
 2023-01-18 0.000414092 
 2023-01-19 6.665088e-05 
 2023-01-20        0 
 2023-01-21 3.24346e-06 
 2023-01-22 9.527022e-07 
 2023-01-23        0 
 2023-01-24 3.81388e-07 
 2023-01-25 4.994686e-05 
 2023-01-26 1.367628e-06 
 2023-01-27 0.0001201544 
 2023-01-28 9.360911e-06 
 2023-01-29 6.505777e-05 
 2023-01-30 3.554238e-05 
 2023-01-31 3.565116e-05 
 2023-02-01 1.887043e-05 
 2023-02-02 9.626671e-05 
 2023-02-03 7.485773e-05 
 2023-02-04 6.238164e-05 
 2023-02-05 4.773232e-07 
 2023-02-06 7.62776e-07 
 2023-02-07 4.860548e-09 
 2023-02-08 3.758074e-05 
 2023-02-09 8.025441e-06 
 2023-02-10 1.176916e-05 
 2023-02-11 5.130872e-05 
 2023-02-12 1.694346e-05 
 2023-02-13 1.146594e-06 
 2023-02-14        0 
 2023-02-15 0.001468185 
 2023-02-16 0.001212185 
 2023-02-17 0.0001232753 
 2023-02-18 0.0001030919 
 2023-02-19 5.788455e-05 
 2023-02-20 0.0001207163 
 2023-02-21 0.0002574665 
 2023-02-22 0.001543846 
 2023-02-23 0.001656972 
 2023-02-24 0.0002367669 
 2023-02-25 0.0002269809 
 2023-02-26 2.515039e-06 
 2023-02-27 0.0002348048 
 2023-02-28 8.200676e-05 
 2023-03-01 0.0009000031 
 2023-03-02 5.113276e-05 
 2023-03-03 7.727939e-05 
 2023-03-04 4.32712e-05 
 2023-03-05 9.430115e-05 
 2023-03-06 0.001661872 
 2023-03-07 0.002941804 
 2023-03-08 0.01312276 
 2023-03-09 0.008470444 
 2023-03-10 0.002030694 
 2023-03-11 0.004336343 
 2023-03-12 0.003172866 
 2023-03-13 0.005846227 
 2023-03-14 0.0005057267 
 2023-03-15 0.00392001 
 2023-03-16 0.001958593 
 2023-03-17 0.00415057 
 2023-03-18 0.002520246 
 2023-03-19 5.162941e-05 
 2023-03-20 0.004729401 
 2023-03-21 0.002811169 
 2023-03-22 0.007383417 
 2023-03-23 0.006936879 
 2023-03-24 0.006081294 
 2023-03-25 0.01109927 
 2023-03-26 0.002953969 
 2023-03-27 0.001120767 
 2023-03-28 0.003739153 
 2023-03-29 0.004657771 
 2023-03-30 0.01101018 
 2023-03-31 0.01311347 
 2023-04-01 0.002537116 
 2023-04-02 0.0001416765 
 2023-04-03 2.858613e-07 
 2023-04-04        0 
